,ball_no,total_innings,mean_runs,cumal_runs,batsman
81,82,28.0,0.857142857143,71.5133293749,KaneWilliamson
82,83,27.0,0.851851851852,72.3651812267,KaneWilliamson
83,84,27.0,0.925925925926,73.2911071526,KaneWilliamson
84,85,27.0,1.03703703704,74.3281441897,KaneWilliamson
85,86,25.0,1.28,75.6081441897,KaneWilliamson
86,87,24.0,0.916666666667,76.5248108564,KaneWilliamson
87,88,24.0,0.708333333333,77.2331441897,KaneWilliamson
88,89,20.0,1.3,78.5331441897,KaneWilliamson
89,90,20.0,1.3,79.8331441897,KaneWilliamson
90,91,20.0,0.7,80.5331441897,KaneWilliamson
91,92,19.0,0.947368421053,81.4805126107,KaneWilliamson
92,93,17.0,1.52941176471,83.0099243755,KaneWilliamson
93,94,17.0,1.23529411765,84.2452184931,KaneWilliamson
94,95,17.0,1.11764705882,85.3628655519,KaneWilliamson
95,96,16.0,0.9375,86.3003655519,KaneWilliamson
96,97,16.0,0.875,87.1753655519,KaneWilliamson
97,98,15.0,1.33333333333,88.5086988853,KaneWilliamson
98,99,15.0,1.26666666667,89.7753655519,KaneWilliamson
99,100,14.0,0.428571428571,90.2039369805,KaneWilliamson
100,101,14.0,1.14285714286,91.3467941234,KaneWilliamson
101,102,12.0,0.833333333333,92.1801274567,KaneWilliamson
102,103,12.0,0.833333333333,93.01346079,KaneWilliamson
103,104,11.0,1.18181818182,94.1952789718,KaneWilliamson
104,105,11.0,1.36363636364,95.5589153355,KaneWilliamson
105,106,11.0,0.727272727273,96.2861880628,KaneWilliamson
106,107,11.0,1.18181818182,97.4680062446,KaneWilliamson
107,108,10.0,0.7,98.1680062446,KaneWilliamson
108,109,9.0,0.444444444444,98.612450689,KaneWilliamson
109,110,8.0,1.0,99.612450689,KaneWilliamson
110,111,8.0,1.0,100.612450689,KaneWilliamson
111,112,8.0,0.875,101.487450689,KaneWilliamson
112,113,8.0,1.0,102.487450689,KaneWilliamson
113,114,8.0,1.375,103.862450689,KaneWilliamson
114,115,8.0,0.75,104.612450689,KaneWilliamson
115,116,7.0,0.571428571429,105.18387926,KaneWilliamson
116,117,7.0,1.28571428571,106.469593546,KaneWilliamson
117,118,7.0,0.571428571429,107.041022118,KaneWilliamson
118,119,6.0,1.0,108.041022118,KaneWilliamson
119,120,5.0,0.8,108.841022118,KaneWilliamson
120,121,4.0,0.75,109.591022118,KaneWilliamson
121,122,4.0,0.5,110.091022118,KaneWilliamson
122,123,4.0,1.5,111.591022118,KaneWilliamson
123,124,4.0,1.0,112.591022118,KaneWilliamson
124,125,4.0,1.0,113.591022118,KaneWilliamson
125,126,4.0,1.5,115.091022118,KaneWilliamson
126,127,4.0,0.5,115.591022118,KaneWilliamson
127,128,4.0,1.25,116.841022118,KaneWilliamson
128,129,4.0,1.0,117.841022118,KaneWilliamson
129,130,4.0,0.75,118.591022118,KaneWilliamson
130,131,3.0,0.666666666667,119.257688784,KaneWilliamson
131,132,3.0,1.0,120.257688784,KaneWilliamson
132,133,3.0,2.33333333333,122.591022118,KaneWilliamson
133,134,3.0,2.0,124.591022118,KaneWilliamson
134,135,3.0,0.0,124.591022118,KaneWilliamson
135,136,2.0,2.0,126.591022118,KaneWilliamson
136,137,2.0,1.0,127.591022118,KaneWilliamson
137,138,2.0,2.0,129.591022118,KaneWilliamson
138,139,2.0,1.5,131.091022118,KaneWilliamson
139,140,2.0,6.0,137.091022118,KaneWilliamson
140,141,1.0,2.0,139.091022118,KaneWilliamson
141,142,1.0,0.0,139.091022118,KaneWilliamson
142,143,1.0,0.0,139.091022118,KaneWilliamson
